obscd,datetime,wl,fw
1001602,2024-07-26 07:00:00,2.04, 
1001602,2024-07-26 08:00:00,2.03, 
1001602,2024-07-26 09:00:00,2.03, 
1001602,2024-07-26 10:00:00,2.03, 
1001602,2024-07-26 11:00:00,2.02, 
1001602,2024-07-26 12:00:00,2.02, 
1001602,2024-07-26 13:00:00,2.01, 
1001602,2024-07-26 14:00:00,2.01, 
1001602,2024-07-26 15:00:00,2.0, 
1001602,2024-07-26 16:00:00,2.0, 
1001602,2024-07-26 17:00:00,2.0, 
1001602,2024-07-26 18:00:00,1.99, 
1001602,2024-07-26 19:00:00,1.99, 
1001602,2024-07-26 20:00:00,1.99, 
1001602,2024-07-26 21:00:00,1.98, 
1001602,2024-07-26 22:00:00,1.98, 
1001602,2024-07-26 23:00:00,1.98, 
1001602,2024-07-27 00:00:00,1.99, 
1001602,2024-07-27 01:00:00,1.98, 
1001602,2024-07-27 02:00:00,1.98, 
1001602,2024-07-27 03:00:00,1.98, 
1001602,2024-07-27 04:00:00,1.97, 
1001602,2024-07-27 05:00:00,1.97, 
1001602,2024-07-27 06:00:00,1.97, 
1001602,2024-07-27 07:00:00,1.97, 
1001602,2024-07-27 08:00:00,1.96, 
1001602,2024-07-27 09:00:00,1.96, 
1001602,2024-07-27 10:00:00,1.96, 
1001602,2024-07-27 11:00:00,1.96, 
1001602,2024-07-27 12:00:00,1.95, 
1001602,2024-07-27 13:00:00,1.95, 
1001602,2024-07-27 14:00:00,1.95, 
1001602,2024-07-27 15:00:00,1.95, 
1001602,2024-07-27 16:00:00,1.95, 
1001602,2024-07-27 17:00:00,1.94, 
1001602,2024-07-27 18:00:00,1.96, 
1001602,2024-07-27 19:00:00,2.0, 
1001602,2024-07-27 20:00:00,2.01, 
1001602,2024-07-27 21:00:00,2.01, 
1001602,2024-07-27 22:00:00,1.99, 
1001602,2024-07-27 23:00:00,1.97, 
1001602,2024-07-28 00:00:00,1.96, 
1001602,2024-07-28 01:00:00,1.95, 
1001602,2024-07-28 02:00:00,1.95, 
1001602,2024-07-28 03:00:00,1.94, 
1001602,2024-07-28 04:00:00,1.94, 
1001602,2024-07-28 05:00:00,1.94, 
1001602,2024-07-28 06:00:00,1.93, 
1001602,2024-07-28 07:00:00,1.93, 
1001602,2024-07-28 08:00:00,1.93, 
1001602,2024-07-28 09:00:00,1.92, 
1001602,2024-07-28 10:00:00,1.92, 
1001602,2024-07-28 11:00:00,1.92, 
1001602,2024-07-28 12:00:00,1.91, 
1001602,2024-07-28 13:00:00,1.91, 
1001602,2024-07-28 14:00:00,1.91, 
1001602,2024-07-28 15:00:00,1.91, 
1001602,2024-07-28 16:00:00,1.9, 
1001602,2024-07-28 17:00:00,1.9, 
1001602,2024-07-28 18:00:00,1.9, 
1001602,2024-07-28 19:00:00,1.9, 
1001602,2024-07-28 20:00:00,1.89, 
1001602,2024-07-28 21:00:00,1.89, 
1001602,2024-07-28 22:00:00,1.89, 
1001602,2024-07-28 23:00:00,1.89, 
1001602,2024-07-29 00:00:00,1.89, 
1001602,2024-07-29 01:00:00,1.89, 
1001602,2024-07-29 02:00:00,1.89, 
1001602,2024-07-29 03:00:00,1.88, 
1001602,2024-07-29 04:00:00,1.88, 
1001602,2024-07-29 05:00:00,1.88, 
1001602,2024-07-29 06:00:00,1.88, 
1001602,2024-07-29 07:00:00,1.88, 
1001602,2024-07-29 08:00:00,1.88, 
1001602,2024-07-29 09:00:00,1.88, 
1001602,2024-07-29 10:00:00,1.88, 
1001602,2024-07-29 11:00:00,1.87, 
1001602,2024-07-29 12:00:00,1.87, 
1001602,2024-07-29 13:00:00,1.87, 
1001602,2024-07-29 14:00:00,1.87, 
1001602,2024-07-29 15:00:00,1.87, 
1001602,2024-07-29 16:00:00,1.87, 
1001602,2024-07-29 17:00:00,1.87, 
1001602,2024-07-29 18:00:00,1.87, 
1001602,2024-07-29 19:00:00,1.87, 
1001602,2024-07-29 20:00:00,1.87, 
1001602,2024-07-29 21:00:00,1.86, 
1001602,2024-07-29 22:00:00,1.87, 
1001602,2024-07-29 23:00:00,1.87, 
1001602,2024-07-30 00:00:00,1.86, 
1001602,2024-07-30 01:00:00,1.86, 
1001602,2024-07-30 02:00:00,1.86, 
1001602,2024-07-30 03:00:00,1.86, 
1001602,2024-07-30 04:00:00,1.86, 
1001602,2024-07-30 05:00:00,1.85, 
1001602,2024-07-30 06:00:00,1.85, 
1001602,2024-07-30 07:00:00,1.85, 
1001602,2024-07-30 08:00:00,1.86, 
1001602,2024-07-30 09:00:00,1.85, 
1001602,2024-07-30 10:00:00,1.85, 
1001602,2024-07-30 11:00:00,1.85, 
1001602,2024-07-30 12:00:00,1.85, 
1001602,2024-07-30 13:00:00,1.85, 
1001602,2024-07-30 14:00:00,1.85, 
1001602,2024-07-30 15:00:00,1.85, 
1001602,2024-07-30 16:00:00,1.85, 
1001602,2024-07-30 17:00:00,1.84, 
1001602,2024-07-30 18:00:00,1.84, 
1001602,2024-07-30 19:00:00,1.84, 
1001602,2024-07-30 20:00:00,1.84, 
1001602,2024-07-30 21:00:00,1.84, 
1001602,2024-07-30 22:00:00,1.84, 
1001602,2024-07-30 23:00:00,1.84, 
1001602,2024-07-31 00:00:00,1.83, 
1001602,2024-07-31 01:00:00,1.83, 
1001602,2024-07-31 02:00:00,1.83, 
1001602,2024-07-31 03:00:00,1.83, 
1001602,2024-07-31 04:00:00,1.83, 
1001602,2024-07-31 05:00:00,1.83, 
1001602,2024-07-31 06:00:00,1.83, 
1001602,2024-07-31 07:00:00,1.83, 
1001602,2024-07-31 08:00:00,1.82, 
1001602,2024-07-31 09:00:00,1.82, 
1001602,2024-07-31 10:00:00,1.82, 
1001602,2024-07-31 11:00:00,1.82, 
1001602,2024-07-31 12:00:00,1.82, 
1001602,2024-07-31 13:00:00,1.82, 
1001602,2024-07-31 14:00:00,1.82, 
1001602,2024-07-31 15:00:00,1.81, 
1001602,2024-07-31 16:00:00,1.81, 
1001602,2024-07-31 17:00:00,1.81, 
1001602,2024-07-31 18:00:00,1.8, 
1001602,2024-07-31 19:00:00,1.8, 
1001602,2024-07-31 20:00:00,1.8, 
1001602,2024-07-31 21:00:00,1.8, 
1001602,2024-07-31 22:00:00,1.8, 
1001602,2024-07-31 23:00:00,1.8, 
1001602,2024-08-01 00:00:00,1.8, 
1001602,2024-08-01 01:00:00,1.8, 
1001602,2024-08-01 02:00:00,1.8, 
1001602,2024-08-01 03:00:00,1.8, 
1001602,2024-08-01 04:00:00,1.8, 
1001602,2024-08-01 05:00:00,1.8, 
1001602,2024-08-01 06:00:00,1.8, 
1001602,2024-08-01 07:00:00,1.8, 
1001602,2024-08-01 08:00:00,1.8, 
1001602,2024-08-01 09:00:00,1.8, 
1001602,2024-08-01 10:00:00,1.8, 
1001602,2024-08-01 11:00:00,1.79, 
1001602,2024-08-01 12:00:00,1.79, 
1001602,2024-08-01 13:00:00,1.79, 
1001602,2024-08-01 14:00:00,1.79, 
1001602,2024-08-01 15:00:00,1.79, 
1001602,2024-08-01 16:00:00,1.79, 
1001602,2024-08-01 17:00:00,1.78, 
1001602,2024-08-01 18:00:00,1.78, 
1001602,2024-08-01 19:00:00,1.78, 
1001602,2024-08-01 20:00:00,1.78, 
1001602,2024-08-01 21:00:00,1.78, 
1001602,2024-08-01 22:00:00,1.78, 
1001602,2024-08-01 23:00:00,1.78, 
1001602,2024-08-02 00:00:00,1.78, 
1001602,2024-08-02 01:00:00,1.78, 
1001602,2024-08-02 02:00:00,1.78, 
1001602,2024-08-02 03:00:00,1.78, 
1001602,2024-08-02 04:00:00,1.78, 
1001602,2024-08-02 05:00:00,1.78, 
1001602,2024-08-02 06:00:00,1.78, 
1001602,2024-08-02 07:00:00,1.78, 
1001602,2024-08-02 08:00:00,1.78, 
1001602,2024-08-02 09:00:00,1.78, 
1001602,2024-08-02 10:00:00,1.77, 
1001602,2024-08-02 11:00:00,1.77, 
1001602,2024-08-02 12:00:00,1.77, 
1001602,2024-08-02 13:00:00,1.77, 
1001602,2024-08-02 14:00:00,1.56, 
1001602,2024-08-02 15:00:00,1.53, 
1001602,2024-08-02 16:00:00,1.76, 
1001602,2024-08-02 17:00:00,1.76, 
1001602,2024-08-02 18:00:00,1.76, 
1001602,2024-08-02 19:00:00,1.76, 
1001602,2024-08-02 20:00:00,1.76, 
1001602,2024-08-02 21:00:00,1.76, 
1001602,2024-08-02 22:00:00,1.75, 
1001602,2024-08-02 23:00:00,1.75, 
1001602,2024-08-03 00:00:00,1.75, 
1001602,2024-08-03 01:00:00,1.75, 
1001602,2024-08-03 02:00:00,1.76, 
1001602,2024-08-03 03:00:00,1.75, 
1001602,2024-08-03 04:00:00,1.76, 
1001602,2024-08-03 05:00:00,1.76, 
1001602,2024-08-03 06:00:00,1.76, 
1001602,2024-08-03 07:00:00,1.75, 
1001602,2024-08-03 08:00:00,1.75, 
1001602,2024-08-03 09:00:00,1.75, 
1001602,2024-08-03 10:00:00,1.75, 
1001602,2024-08-03 11:00:00,1.75, 
1001602,2024-08-03 12:00:00,1.75, 
1001602,2024-08-03 13:00:00,1.75, 
1001602,2024-08-03 14:00:00,1.75, 
1001602,2024-08-03 15:00:00,1.74, 
1001602,2024-08-03 16:00:00,1.74, 
1001602,2024-08-03 17:00:00,1.74, 
1001602,2024-08-03 18:00:00,1.74, 
1001602,2024-08-03 19:00:00,1.73, 
1001602,2024-08-03 20:00:00,1.73, 
1001602,2024-08-03 21:00:00,1.73, 
1001602,2024-08-03 22:00:00,1.73, 
1001602,2024-08-03 23:00:00,1.73, 
1001602,2024-08-04 00:00:00,1.73, 
1001602,2024-08-04 01:00:00,1.73, 
1001602,2024-08-04 02:00:00,1.73, 
1001602,2024-08-04 03:00:00,1.73, 
1001602,2024-08-04 04:00:00,1.73, 
1001602,2024-08-04 05:00:00,1.73, 
1001602,2024-08-04 06:00:00,1.73, 
1001602,2024-08-04 07:00:00,1.73, 
1001602,2024-08-04 08:00:00,1.73, 
1001602,2024-08-04 09:00:00,1.73, 
1001602,2024-08-04 10:00:00,1.73, 
1001602,2024-08-04 11:00:00,1.73, 
1001602,2024-08-04 12:00:00,1.73, 
1001602,2024-08-04 13:00:00,1.73, 
1001602,2024-08-04 14:00:00,1.72, 
1001602,2024-08-04 15:00:00,1.72, 
1001602,2024-08-04 16:00:00,1.72, 
1001602,2024-08-04 17:00:00,1.72, 
1001602,2024-08-04 18:00:00,1.72, 
1001602,2024-08-04 19:00:00,1.72, 
1001602,2024-08-04 20:00:00,1.72, 
1001602,2024-08-04 21:00:00,1.72, 
1001602,2024-08-04 22:00:00,1.72, 
1001602,2024-08-04 23:00:00,1.71, 
1001602,2024-08-05 00:00:00,1.71, 
1001602,2024-08-05 01:00:00,1.71, 
1001602,2024-08-05 02:00:00,1.72, 
1001602,2024-08-05 03:00:00,1.72, 
1001602,2024-08-05 04:00:00,1.72, 
1001602,2024-08-05 05:00:00,1.72, 
1001602,2024-08-05 06:00:00,1.72, 
1001602,2024-08-05 07:00:00,1.72, 
1001602,2024-08-05 08:00:00,1.72, 
1001602,2024-08-05 09:00:00,1.72, 
1001602,2024-08-05 10:00:00,1.72, 
1001602,2024-08-05 11:00:00,1.72, 
1001602,2024-08-05 12:00:00,1.71, 
1001602,2024-08-05 13:00:00,1.71, 
1001602,2024-08-05 14:00:00,1.71, 
1001602,2024-08-05 15:00:00,1.75, 
1001602,2024-08-05 16:00:00,1.75, 
1001602,2024-08-05 17:00:00,1.78, 
1001602,2024-08-05 18:00:00,1.81, 
1001602,2024-08-05 19:00:00,1.81, 
1001602,2024-08-05 20:00:00,1.8, 
1001602,2024-08-05 21:00:00,1.81, 
1001602,2024-08-05 22:00:00,1.81, 
1001602,2024-08-05 23:00:00,1.8, 
1001602,2024-08-06 00:00:00,1.79, 
1001602,2024-08-06 01:00:00,1.78, 
1001602,2024-08-06 02:00:00,1.77, 
1001602,2024-08-06 03:00:00,1.76, 
1001602,2024-08-06 04:00:00,1.76, 
1001602,2024-08-06 05:00:00,1.75, 
1001602,2024-08-06 06:00:00,1.75, 
1001602,2024-08-06 07:00:00,1.75, 
1001602,2024-08-06 08:00:00,1.75, 
1001602,2024-08-06 09:00:00,1.74, 
1001602,2024-08-06 10:00:00,1.73, 
1001602,2024-08-06 11:00:00,1.74, 
1001602,2024-08-06 12:00:00,1.73, 
1001602,2024-08-06 13:00:00,1.73, 
1001602,2024-08-06 14:00:00,1.73, 
1001602,2024-08-06 15:00:00,1.73, 
1001602,2024-08-06 16:00:00,1.73, 
1001602,2024-08-06 17:00:00,1.72, 
1001602,2024-08-06 18:00:00,1.71, 
1001602,2024-08-06 19:00:00,1.72, 
1001602,2024-08-06 20:00:00,1.72, 
1001602,2024-08-06 21:00:00,1.72, 
1001602,2024-08-06 22:00:00,1.72, 
1001602,2024-08-06 23:00:00,1.72, 
1001602,2024-08-07 00:00:00,1.72, 
1001602,2024-08-07 01:00:00,1.72, 
1001602,2024-08-07 02:00:00,1.71, 
1001602,2024-08-07 03:00:00,1.71, 
1001602,2024-08-07 04:00:00,1.71, 
1001602,2024-08-07 05:00:00,1.71, 
1001602,2024-08-07 06:00:00,1.71, 
1001602,2024-08-07 07:00:00,1.71, 
1001602,2024-08-07 08:00:00,1.71, 
1001602,2024-08-07 09:00:00,1.71, 
1001602,2024-08-07 10:00:00,1.71, 
1001602,2024-08-07 11:00:00,1.71, 
1001602,2024-08-07 12:00:00,1.7, 
1001602,2024-08-07 13:00:00,1.71, 
1001602,2024-08-07 14:00:00,1.7, 
1001602,2024-08-07 15:00:00,1.7, 
1001602,2024-08-07 16:00:00,1.7, 
1001602,2024-08-07 17:00:00,1.7, 
1001602,2024-08-07 18:00:00,1.7, 
1001602,2024-08-07 19:00:00,1.7, 
1001602,2024-08-07 20:00:00,1.7, 
1001602,2024-08-07 21:00:00,1.7, 
1001602,2024-08-07 22:00:00,1.69, 
1001602,2024-08-07 23:00:00,1.69, 
1001602,2024-08-08 00:00:00,1.69, 
1001602,2024-08-08 01:00:00,1.69, 
1001602,2024-08-08 02:00:00,1.69, 
1001602,2024-08-08 03:00:00,1.69, 
1001602,2024-08-08 04:00:00,1.69, 
1001602,2024-08-08 05:00:00,1.69, 
1001602,2024-08-08 06:00:00,1.69, 
1001602,2024-08-08 07:00:00,1.69, 
1001602,2024-08-08 08:00:00,1.69, 
1001602,2024-08-08 09:00:00,1.69, 
1001602,2024-08-08 10:00:00,1.69, 
1001602,2024-08-08 11:00:00,1.69, 
1001602,2024-08-08 12:00:00,1.69, 
1001602,2024-08-08 13:00:00,1.69, 
1001602,2024-08-08 14:00:00,1.69, 
1001602,2024-08-08 15:00:00,1.69, 
1001602,2024-08-08 16:00:00,1.69, 
1001602,2024-08-08 17:00:00,1.69, 
1001602,2024-08-08 18:00:00,1.69, 
1001602,2024-08-08 19:00:00,1.69, 
1001602,2024-08-08 20:00:00,1.69, 
1001602,2024-08-08 21:00:00,1.68, 
1001602,2024-08-08 22:00:00,1.68, 
1001602,2024-08-08 23:00:00,1.68, 
1001602,2024-08-09 00:00:00,1.68, 
1001602,2024-08-09 01:00:00,1.68, 
1001602,2024-08-09 02:00:00,1.68, 
1001602,2024-08-09 03:00:00,1.68, 
1001602,2024-08-09 04:00:00,1.68, 
1001602,2024-08-09 05:00:00,1.68, 
1001602,2024-08-09 06:00:00,1.68, 
1001602,2024-08-09 07:00:00,1.68, 
1001602,2024-08-09 08:00:00,1.68, 
1001602,2024-08-09 09:00:00,1.68, 
1001602,2024-08-09 10:00:00,1.68, 
1001602,2024-08-09 11:00:00,1.68, 
1001602,2024-08-09 12:00:00,1.68, 
1001602,2024-08-09 13:00:00,1.68, 
1001602,2024-08-09 14:00:00,1.68, 
1001602,2024-08-09 15:00:00,1.68, 
1001602,2024-08-09 16:00:00,1.68, 
1001602,2024-08-09 17:00:00,1.67, 
1001602,2024-08-09 18:00:00,1.67, 
1001602,2024-08-09 19:00:00,1.72, 
1001602,2024-08-09 20:00:00,1.79, 
1001602,2024-08-09 21:00:00,1.8, 
1001602,2024-08-09 22:00:00,1.76, 
1001602,2024-08-09 23:00:00,1.74, 
1001602,2024-08-10 00:00:00,1.74, 
1001602,2024-08-10 01:00:00,1.73, 
1001602,2024-08-10 02:00:00,1.72, 
1001602,2024-08-10 03:00:00,1.71, 
1001602,2024-08-10 04:00:00,1.71, 
1001602,2024-08-10 05:00:00,1.7, 
1001602,2024-08-10 06:00:00,1.7, 
1001602,2024-08-10 07:00:00,1.7, 
1001602,2024-08-10 08:00:00,1.7, 
1001602,2024-08-10 09:00:00,1.69, 
1001602,2024-08-10 10:00:00,1.69, 
1001602,2024-08-10 11:00:00,1.69, 
1001602,2024-08-10 12:00:00,1.69, 
1001602,2024-08-10 13:00:00,1.69, 
1001602,2024-08-10 14:00:00,1.68, 
1001602,2024-08-10 15:00:00,1.68, 
1001602,2024-08-10 16:00:00,1.68, 
1001602,2024-08-10 17:00:00,1.68, 
1001602,2024-08-10 18:00:00,1.68, 
1001602,2024-08-10 19:00:00,1.68, 
1001602,2024-08-10 20:00:00,1.67, 
1001602,2024-08-10 21:00:00,1.67, 
1001602,2024-08-10 22:00:00,1.67, 
1001602,2024-08-10 23:00:00,1.67, 
1001602,2024-08-11 00:00:00,1.67, 
1001602,2024-08-11 01:00:00,1.67, 
1001602,2024-08-11 02:00:00,1.67, 
1001602,2024-08-11 03:00:00,1.67, 
1001602,2024-08-11 04:00:00,1.67, 
1001602,2024-08-11 05:00:00,1.67, 
1001602,2024-08-11 06:00:00,1.67, 
1001602,2024-08-11 07:00:00,1.67, 
1001602,2024-08-11 08:00:00,1.67, 
1001602,2024-08-11 09:00:00,1.67, 
1001602,2024-08-11 10:00:00,1.67, 
1001602,2024-08-11 11:00:00,1.66, 
1001602,2024-08-11 12:00:00,1.67, 
1001602,2024-08-11 13:00:00,1.67, 
1001602,2024-08-11 14:00:00,1.67, 
1001602,2024-08-11 15:00:00,1.66, 
1001602,2024-08-11 16:00:00,1.66, 
1001602,2024-08-11 17:00:00,1.66, 
1001602,2024-08-11 18:00:00,1.66, 
1001602,2024-08-11 19:00:00,1.66, 
1001602,2024-08-11 20:00:00,1.66, 
1001602,2024-08-11 21:00:00,1.66, 
1001602,2024-08-11 22:00:00,1.66, 
1001602,2024-08-11 23:00:00,1.66, 
1001602,2024-08-12 00:00:00,1.66, 
1001602,2024-08-12 01:00:00,1.66, 
1001602,2024-08-12 02:00:00,1.66, 
1001602,2024-08-12 03:00:00,1.66, 
1001602,2024-08-12 04:00:00,1.66, 
1001602,2024-08-12 05:00:00,1.66, 
1001602,2024-08-12 06:00:00,1.66, 
1001602,2024-08-12 07:00:00,1.66, 
1001602,2024-08-12 08:00:00,1.66, 
1001602,2024-08-12 09:00:00,1.66, 
1001602,2024-08-12 10:00:00,1.66, 
1001602,2024-08-12 11:00:00,1.66, 
1001602,2024-08-12 12:00:00,1.66, 
1001602,2024-08-12 13:00:00,1.66, 
1001602,2024-08-12 14:00:00,1.65, 
1001602,2024-08-12 15:00:00,1.65, 
1001602,2024-08-12 16:00:00,1.65, 
1001602,2024-08-12 17:00:00,1.65, 
1001602,2024-08-12 18:00:00,1.65, 
1001602,2024-08-12 19:00:00,1.65, 
1001602,2024-08-12 20:00:00,1.65, 
1001602,2024-08-12 21:00:00,1.65, 
1001602,2024-08-12 22:00:00,1.65, 
1001602,2024-08-12 23:00:00,1.65, 
1001602,2024-08-13 00:00:00,1.65, 
1001602,2024-08-13 01:00:00,1.65, 
1001602,2024-08-13 02:00:00,1.65, 
1001602,2024-08-13 03:00:00,1.65, 
1001602,2024-08-13 04:00:00,1.65, 
1001602,2024-08-13 05:00:00,1.65, 
1001602,2024-08-13 06:00:00,1.65, 
1001602,2024-08-13 07:00:00,1.65, 
1001602,2024-08-13 08:00:00,1.65, 
1001602,2024-08-13 09:00:00,1.65, 
1001602,2024-08-13 10:00:00,1.65, 
1001602,2024-08-13 11:00:00,1.65, 
1001602,2024-08-13 12:00:00,1.64, 
1001602,2024-08-13 13:00:00,1.64, 
1001602,2024-08-13 14:00:00,1.64, 
1001602,2024-08-13 15:00:00,1.64, 
1001602,2024-08-13 16:00:00,1.64, 
1001602,2024-08-13 17:00:00,1.64, 
1001602,2024-08-13 18:00:00,1.64, 
1001602,2024-08-13 19:00:00,1.64, 
1001602,2024-08-13 20:00:00,1.64, 
1001602,2024-08-13 21:00:00,1.64, 
1001602,2024-08-13 22:00:00,1.64, 
1001602,2024-08-13 23:00:00,1.64, 
1001602,2024-08-14 00:00:00,1.63, 
1001602,2024-08-14 01:00:00,1.63, 
1001602,2024-08-14 02:00:00,1.63, 
1001602,2024-08-14 03:00:00,1.63, 
1001602,2024-08-14 04:00:00,1.63, 
1001602,2024-08-14 05:00:00,1.63, 
1001602,2024-08-14 06:00:00,1.63, 
1001602,2024-08-14 07:00:00,1.63, 
1001602,2024-08-14 08:00:00,1.63, 
1001602,2024-08-14 09:00:00,1.63, 
1001602,2024-08-14 10:00:00,1.63, 
1001602,2024-08-14 11:00:00,1.63, 
1001602,2024-08-14 12:00:00,1.63, 
1001602,2024-08-14 13:00:00,1.63, 
1001602,2024-08-14 14:00:00,1.63, 
1001602,2024-08-14 15:00:00,1.63, 
1001602,2024-08-14 16:00:00,1.63, 
1001602,2024-08-14 17:00:00,1.62, 
1001602,2024-08-14 18:00:00,1.62, 
1001602,2024-08-14 19:00:00,1.63, 
1001602,2024-08-14 20:00:00,1.63, 
1001602,2024-08-14 21:00:00,1.63, 
1001602,2024-08-14 22:00:00,1.63, 
1001602,2024-08-14 23:00:00,1.63, 
1001602,2024-08-15 00:00:00,1.63, 
1001602,2024-08-15 01:00:00,1.63, 
1001602,2024-08-15 02:00:00,1.63, 
1001602,2024-08-15 03:00:00,1.62, 
1001602,2024-08-15 04:00:00,1.63, 
1001602,2024-08-15 05:00:00,1.63, 
1001602,2024-08-15 06:00:00,1.63, 
1001602,2024-08-15 07:00:00,1.63, 
1001602,2024-08-15 08:00:00,1.63, 
1001602,2024-08-15 09:00:00,1.62, 
1001602,2024-08-15 10:00:00,1.62, 
1001602,2024-08-15 11:00:00,1.62, 
1001602,2024-08-15 12:00:00,1.62, 
1001602,2024-08-15 13:00:00,1.62, 
1001602,2024-08-15 14:00:00,1.62, 
1001602,2024-08-15 15:00:00,1.62, 
1001602,2024-08-15 16:00:00,1.62, 
1001602,2024-08-15 17:00:00,1.62, 
1001602,2024-08-15 18:00:00,1.62, 
1001602,2024-08-15 19:00:00,1.62, 
1001602,2024-08-15 20:00:00,1.62, 
1001602,2024-08-15 21:00:00,1.62, 
1001602,2024-08-15 22:00:00,1.62, 
1001602,2024-08-15 23:00:00,1.62, 
1001602,2024-08-16 00:00:00,1.62, 
1001602,2024-08-16 01:00:00,1.62, 
1001602,2024-08-16 02:00:00,1.62, 
1001602,2024-08-16 03:00:00,1.62, 
1001602,2024-08-16 04:00:00,1.62, 
1001602,2024-08-16 05:00:00,1.62, 
1001602,2024-08-16 06:00:00,1.62, 
1001602,2024-08-16 07:00:00,1.62, 
1001602,2024-08-16 08:00:00,1.62, 
1001602,2024-08-16 09:00:00,1.62, 
1001602,2024-08-16 10:00:00,1.62, 
1001602,2024-08-16 11:00:00,1.62, 
1001602,2024-08-16 12:00:00,1.61, 
1001602,2024-08-16 13:00:00,1.62, 
1001602,2024-08-16 14:00:00,1.62, 
1001602,2024-08-16 15:00:00,1.62, 
1001602,2024-08-16 16:00:00,1.61, 
1001602,2024-08-16 17:00:00,1.61, 
1001602,2024-08-16 18:00:00,1.61, 
1001602,2024-08-16 19:00:00,1.61, 
1001602,2024-08-16 20:00:00,1.62, 
1001602,2024-08-16 21:00:00,1.61, 
1001602,2024-08-16 22:00:00,1.61, 
1001602,2024-08-16 23:00:00,1.61, 
1001602,2024-08-17 00:00:00,1.61, 
1001602,2024-08-17 01:00:00,1.61, 
1001602,2024-08-17 02:00:00,1.61, 
1001602,2024-08-17 03:00:00,1.61, 
1001602,2024-08-17 04:00:00,1.61, 
1001602,2024-08-17 05:00:00,1.61, 
1001602,2024-08-17 06:00:00,1.61, 
1001602,2024-08-17 07:00:00,1.61, 
1001602,2024-08-17 08:00:00,1.61, 
1001602,2024-08-17 09:00:00,1.61, 
1001602,2024-08-17 10:00:00,1.61, 
1001602,2024-08-17 11:00:00,1.61, 
1001602,2024-08-17 12:00:00,1.61, 
1001602,2024-08-17 13:00:00,1.61, 
1001602,2024-08-17 14:00:00,1.61, 
1001602,2024-08-17 15:00:00,1.61, 
1001602,2024-08-17 16:00:00,1.61, 
1001602,2024-08-17 17:00:00,1.61, 
1001602,2024-08-17 18:00:00,1.61, 
1001602,2024-08-17 19:00:00,1.61, 
1001602,2024-08-17 20:00:00,1.61, 
1001602,2024-08-17 21:00:00,1.61, 
1001602,2024-08-17 22:00:00,1.61, 
1001602,2024-08-17 23:00:00,1.6, 
1001602,2024-08-18 00:00:00,1.61, 
1001602,2024-08-18 01:00:00,1.6, 
1001602,2024-08-18 02:00:00,1.6, 
1001602,2024-08-18 03:00:00,1.6, 
1001602,2024-08-18 04:00:00,1.6, 
1001602,2024-08-18 05:00:00,1.6, 
1001602,2024-08-18 06:00:00,1.6, 
1001602,2024-08-18 07:00:00,1.6, 
1001602,2024-08-18 08:00:00,1.6, 
1001602,2024-08-18 09:00:00,1.6, 
1001602,2024-08-18 10:00:00,1.6, 
1001602,2024-08-18 11:00:00,1.6, 
1001602,2024-08-18 12:00:00,1.6, 
1001602,2024-08-18 13:00:00,1.6, 
1001602,2024-08-18 14:00:00,1.6, 
1001602,2024-08-18 15:00:00,1.6, 
1001602,2024-08-18 16:00:00,1.6, 
1001602,2024-08-18 17:00:00,1.6, 
1001602,2024-08-18 18:00:00,1.6, 
1001602,2024-08-18 19:00:00,1.61, 
1001602,2024-08-18 20:00:00,1.61, 
1001602,2024-08-18 21:00:00,1.61, 
1001602,2024-08-18 22:00:00,1.61, 
1001602,2024-08-18 23:00:00,1.61, 
1001602,2024-08-19 00:00:00,1.61, 
1001602,2024-08-19 01:00:00,1.61, 
1001602,2024-08-19 02:00:00,1.61, 
1001602,2024-08-19 03:00:00,1.61, 
1001602,2024-08-19 04:00:00,1.61, 
1001602,2024-08-19 05:00:00,1.6, 
1001602,2024-08-19 06:00:00,1.6, 
1001602,2024-08-19 07:00:00,1.6, 
1001602,2024-08-19 08:00:00,1.61, 
1001602,2024-08-19 09:00:00,1.61, 
1001602,2024-08-19 10:00:00,1.61, 
1001602,2024-08-19 11:00:00,1.61, 
1001602,2024-08-19 12:00:00,1.61, 
1001602,2024-08-19 13:00:00,1.61, 
1001602,2024-08-19 14:00:00,1.61, 
1001602,2024-08-19 15:00:00,1.6, 
1001602,2024-08-19 16:00:00,1.6, 
1001602,2024-08-19 17:00:00,1.6, 
1001602,2024-08-19 18:00:00,1.6, 
1001602,2024-08-19 19:00:00,1.6, 
1001602,2024-08-19 20:00:00,1.6, 
1001602,2024-08-19 21:00:00,1.6, 
1001602,2024-08-19 22:00:00,1.6, 
1001602,2024-08-19 23:00:00,1.6, 
1001602,2024-08-20 00:00:00,1.6, 
1001602,2024-08-20 01:00:00,1.6, 
1001602,2024-08-20 02:00:00,1.6, 
1001602,2024-08-20 03:00:00,1.6, 
1001602,2024-08-20 04:00:00,1.6, 
1001602,2024-08-20 05:00:00,1.6, 
1001602,2024-08-20 06:00:00,1.6, 
1001602,2024-08-20 07:00:00,1.6, 
1001602,2024-08-20 08:00:00,1.6, 
1001602,2024-08-20 09:00:00,1.6, 
1001602,2024-08-20 10:00:00,1.6, 
1001602,2024-08-20 11:00:00,1.6, 
1001602,2024-08-20 12:00:00,1.6, 
1001602,2024-08-20 13:00:00,1.6, 
1001602,2024-08-20 14:00:00,1.6, 
